hp_number,dealer_type,is_vat_registered,tax_status,company_type,company_status
510000011,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000029,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000037,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000045,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000052,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000060,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000078,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000086,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000094,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000102,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000110,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000128,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000136,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000144,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000151,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000169,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000177,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000185,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000193,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000201,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000219,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000227,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000235,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000243,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000250,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000268,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510000276,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000284,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000292,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000300,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000318,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000326,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000334,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000342,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000359,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000367,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000375,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000383,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000417,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000425,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000433,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000441,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000466,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000474,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000482,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000490,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000508,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000516,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000524,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000532,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000540,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
